"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.mitchellbosecke.benchmark.Freemarker.benchmark","thrpt",1,50.000000,15510.103373,872.747558,"ops/s"
"com.mitchellbosecke.benchmark.Handlebars.benchmark","thrpt",1,50.000000,19918.980365,413.585032,"ops/s"
"com.mitchellbosecke.benchmark.JsonHandlebars.benchmark","thrpt",1,50.000000,22648.108880,1600.163757,"ops/s"
"com.mitchellbosecke.benchmark.Mustache.benchmark","thrpt",1,50.000000,21877.090723,925.285089,"ops/s"
"com.mitchellbosecke.benchmark.Pebble.benchmark","thrpt",1,50.000000,35174.131694,761.638772,"ops/s"
"com.mitchellbosecke.benchmark.Rocker.benchmark","thrpt",1,50.000000,38528.644552,950.717780,"ops/s"
"com.mitchellbosecke.benchmark.Thymeleaf.benchmark","thrpt",1,50.000000,1415.982842,39.976074,"ops/s"
"com.mitchellbosecke.benchmark.Trimou.benchmark","thrpt",1,50.000000,21599.237778,1076.428230,"ops/s"
"com.mitchellbosecke.benchmark.Twirl.benchmark","thrpt",1,50.000000,14585.149801,844.026930,"ops/s"
"com.mitchellbosecke.benchmark.Velocity.benchmark","thrpt",1,50.000000,20463.314093,526.033851,"ops/s"
